年月日,平均気温,平均湿度,天気概況
2006/9/6,24.1,72,雨
2017/1/10,8.1,61,晴
2021/1/30,4.1,36,晴
2000/11/22,11.3,44,曇
2006/1/4,4,38,曇
2007/2/2,6.3,25,晴
2014/10/22,16.1,90,雨
2016/7/13,25.1,94,雨
2008/12/29,9.9,41,晴
2015/1/20,6.3,42,晴
2011/11/29,14.4,52,曇
2020/1/3,6.1,63,晴
2008/1/21,4.9,43,曇
2017/11/6,13.6,67,晴
2019/1/3,4.9,49,晴
2020/7/28,26.7,90,雨
2015/12/4,9.9,43,晴
2007/9/23,23.7,73,曇
2000/12/12,7,29,晴
2006/12/7,9.1,58,曇
2001/7/13,31.6,59,晴
2018/3/9,11.6,85,雨
2006/10/5,20,81,雨
2012/11/16,13.3,49,晴
2012/12/3,6.7,76,曇
2006/9/1,23.2,78,雨
2000/4/19,16.6,58,曇
2014/4/21,13.4,87,雨
2017/2/18,8.1,43,曇
2013/3/28,15,74,曇
2008/2/14,5.1,24,晴
2011/4/13,14.3,39,晴
2009/2/26,6.9,69,雨
2010/1/2,6.3,35,晴
2010/2/15,5.3,70,雨
2000/5/19,18.3,66,曇
2010/4/2,15.2,71,雨
2016/12/9,11.1,56,晴
2006/4/7,9.8,55,曇
2015/9/8,20,100,雨
2016/1/28,7.8,44,晴
2009/10/6,17.8,85,雨
2000/9/5,20.6,83,雨
2008/8/25,23.2,88,雨
2005/11/22,10.5,52,晴
2019/11/30,7.3,56,晴
2021/1/31,5.4,42,晴
2003/3/20,8.4,30,晴
2021/7/8,23.7,93,雨
2004/10/5,16.5,88,雨
2010/11/3,14.6,39,晴
2008/10/31,14.4,55,曇
2002/9/13,23.6,72,曇
2017/12/28,4.8,39,晴
2019/12/30,6.7,72,雨
2000/11/13,14.4,53,曇
2018/10/11,21.7,93,曇
2002/12/24,6.5,61,曇
2019/8/30,26,89,雨
2006/1/12,6.1,34,晴
2019/1/18,5.9,35,晴
2017/4/1,6.3,80,雨
2015/1/22,4.6,91,雨
2002/5/11,15.4,77,曇
2004/6/28,25.9,74,曇
2021/2/22,14.9,53,晴
2011/10/5,15.9,80,雨
2015/10/16,15.6,95,雨
2016/1/6,8.9,69,曇
2017/2/4,8.2,43,晴
2021/6/5,22.1,77,曇
2020/9/16,24,81,曇
2001/11/22,13.5,49,晴
2010/11/9,16.8,43,晴
2008/8/23,20.9,78,雨
2016/5/27,19.4,90,雨
2012/3/27,9.6,40,晴
2011/1/7,4,25,晴
2006/7/28,26.7,73,曇
2007/7/15,23.8,85,雨
2011/11/28,12.1,53,曇
2001/6/23,22.8,77,曇
2002/8/18,23.7,85,雨
2016/3/3,9.2,46,晴
2004/5/13,22.4,69,曇
2007/11/9,16.2,60,曇
2006/3/6,11.8,55,曇
2006/4/27,13,72,雨
2011/1/18,5.5,36,晴
2015/12/1,10.8,62,晴
2001/6/30,25.7,78,雨
2002/3/8,8.7,29,晴
2001/2/13,4,43,曇
2013/7/1,23.8,71,曇
2007/3/18,6.3,27,晴
2007/10/28,18.6,65,晴
2005/6/22,23.1,77,雨
2005/11/27,12,57,晴
2015/11/8,15.2,93,雨
2004/2/17,8.2,36,晴
2006/12/29,6.4,27,晴
2013/11/10,16.6,73,曇
2009/12/18,6.2,32,晴
2006/11/6,18.7,70,曇
2000/7/26,24.3,86,雨
2020/6/22,19.2,95,雨
2002/12/8,5.8,68,雨
2013/3/1,13.6,65,曇
2013/9/20,24.9,64,晴
2017/8/5,27.8,85,曇
2018/8/28,26.6,84,曇
2010/5/2,17.9,41,晴
2013/9/18,23.7,54,晴
2011/7/23,23.1,62,曇
2004/2/16,7.7,29,晴
2009/2/6,7.9,40,晴
2020/1/13,8.5,68,晴
2020/1/27,5.1,72,曇
2015/10/23,17.9,71,曇
2014/8/5,31.1,64,晴
2006/12/22,9.5,65,曇
2015/7/1,20.5,98,雨
2016/3/1,5.2,30,晴
2013/9/19,23.9,56,晴
2008/9/4,27.4,73,曇
2011/1/19,6.3,41,晴
2000/3/7,10.1,53,晴
2019/3/30,8.7,80,曇
2001/3/27,12.2,35,晴
2021/4/5,12.9,89,雨
2011/5/7,17,79,雨
2007/7/1,23.3,72,曇
2010/3/7,6.2,78,雨
2019/6/28,25.2,87,曇
2007/11/29,9.7,51,曇
2008/11/13,14.9,58,晴
2008/3/17,13.1,51,曇
2017/11/18,10.7,74,雨
2020/9/1,24.9,85,曇
2002/4/20,17.1,52,曇
2006/3/24,11.2,32,曇
2020/9/15,23.8,82,曇
2008/2/21,8.6,31,晴
2013/12/29,4.9,39,晴
2000/5/20,16.4,88,雨
2019/12/11,11.7,86,曇
2014/11/25,11.1,85,雨
2011/7/17,29.6,62,晴
2004/5/20,16.1,85,雨
2000/12/18,9.4,67,曇
2015/7/14,29.9,61,晴
2012/8/11,28.8,75,曇
2008/4/20,15.7,52,曇
2021/3/14,12.5,46,晴
2003/3/29,10.5,42,曇
2004/12/2,12.1,37,晴
2018/5/5,18.3,53,晴
2004/10/3,18.8,85,雨
2016/12/26,6.9,62,曇
2012/12/16,12,52,晴
2001/4/25,13.1,76,雨
2001/11/19,11.7,44,晴
2010/6/14,18.6,83,雨
2014/12/29,4.2,89,雨
2020/2/6,2.9,34,晴
2002/3/28,11,36,晴
2001/2/2,5.1,43,曇
2000/2/25,3.3,25,晴
2006/2/21,8,70,曇
2013/6/19,26.7,75,曇
2016/4/28,14.4,99,雨
2000/11/6,16.2,66,曇
2002/10/5,23.3,62,晴
2008/11/20,9.4,37,晴
2008/10/28,17.1,58,晴
2011/4/1,11.2,42,晴
2021/3/2,13.5,82,雨
2004/11/11,19,71,曇
2014/1/27,4.6,35,晴
2018/5/17,24,71,曇
2008/5/29,15.8,84,雨
2008/1/12,6.9,72,雨
2013/11/23,12.6,50,晴
2018/6/12,20.5,91,曇
2018/6/6,20.3,92,雨
2002/10/4,23.9,64,晴
2008/11/3,15.7,65,曇
2004/8/5,28.3,70,曇
2015/11/14,13,92,雨
2001/11/28,10.7,47,晴
2009/12/11,8.1,78,雨
2011/1/12,5.1,37,晴
2004/5/17,23.9,74,曇
2009/1/16,5,36,晴
2011/4/18,14.9,55,曇
2021/8/31,26.9,76,曇
2010/12/4,12.4,37,晴
2005/7/22,25.1,71,曇
2019/12/12,11.7,62,晴
2005/1/21,6.3,31,晴
2006/6/17,24.5,71,曇
2008/5/9,18.9,37,曇
2021/5/13,16.1,94,雨
2002/4/26,12.5,58,曇
2005/2/23,12.1,33,晴
2007/8/28,28.6,68,曇
2010/3/28,5.5,59,曇
2003/4/15,11.9,71,雨
2016/1/14,6,52,晴
2009/3/6,8.1,77,雨
2012/2/3,2.8,32,晴
2014/5/21,17.5,87,雨
2016/4/23,17.9,73,曇
2016/3/10,6.1,67,曇
2018/6/20,20.8,98,雨
2012/6/11,20,74,曇
2001/6/14,19.1,88,雨
2011/2/23,8.4,57,晴
2006/5/3,13.5,52,晴
2014/3/25,16.6,43,晴
2003/12/13,9.9,45,晴
2020/9/12,23.7,97,雨
2013/6/15,26,77,曇
2004/3/10,12.4,44,晴
2007/3/27,13.6,50,曇
2000/12/5,9.3,49,晴
2001/12/22,7.2,47,晴
2012/3/7,12.6,72,曇
2006/2/4,1.6,25,晴
2016/2/11,6,40,晴
2009/3/25,8,73,雨
2016/11/10,9.6,53,曇
2004/12/6,11.8,35,晴
2006/4/3,13.8,40,晴
2003/5/14,20.3,63,曇
2021/6/10,24.1,64,晴
2011/9/1,28.5,75,曇
2006/12/9,7.2,78,雨
2018/5/29,23,73,曇
2009/8/2,24.3,79,雨
2003/7/3,22.8,73,曇
2006/7/22,23.7,76,曇
2004/1/24,4.9,38,曇
2021/8/14,22.3,100,雨
2017/11/5,13.3,56,晴
2021/5/27,16.9,94,雨
2004/11/22,14.5,55,晴
2011/12/11,8.1,49,晴
2017/5/10,16.3,95,雨
2010/1/9,7.2,34,晴
2015/4/5,10.3,89,雨
2003/10/28,14.9,81,雨
2015/2/2,4.7,34,晴
2007/3/9,7.6,45,曇
2013/11/20,12.2,38,晴
2003/4/2,9.8,78,雨
2007/10/14,18.3,60,曇
2021/3/6,13.8,70,曇
2015/3/30,16.2,54,晴
2017/8/25,30.4,73,曇
2018/6/21,21.2,95,曇
2009/1/4,7.5,31,晴
2004/10/30,13.1,80,雨
2018/7/7,25,86,曇
2004/2/8,5.6,45,晴
2012/9/3,26.9,73,曇
2001/8/7,24.4,66,曇
2006/12/30,6.8,28,晴
2012/6/28,22.5,71,曇
2014/8/27,21.2,87,雨
2006/10/20,20.7,68,曇
2009/2/13,11.4,58,曇
2019/4/3,8.1,39,晴
2018/3/20,8.4,85,雨
2018/2/21,5.9,52,曇
2019/4/8,9.3,79,雨
2020/9/26,18.5,97,雨
2015/8/26,19.5,99,雨
2003/7/20,24.9,76,曇
2021/1/14,7.9,55,晴
2006/6/23,23.4,71,曇
2020/4/14,10.9,54,晴
2017/1/26,4.6,48,晴
2005/3/21,11.5,32,晴
2015/6/16,23.3,76,曇
2014/5/5,18.1,71,雨
2003/12/24,10.9,47,晴
2005/12/23,5.3,32,晴
2020/7/17,19.3,98,雨
2009/11/16,14.4,39,曇
2009/6/9,21.8,69,曇
2008/11/16,15.3,84,雨
2003/8/28,24.9,72,曇
2020/11/6,12.8,67,曇
2015/7/5,20.1,96,雨
2000/4/12,15.7,42,晴
2013/3/25,9.8,76,雨
2009/1/20,7.5,39,曇
2002/10/30,13.8,38,晴
2000/12/3,9.3,58,曇
2019/11/1,17.4,73,晴
2016/3/5,10.7,65,曇
2002/3/10,13,39,晴
2000/3/9,5.6,32,晴
2003/12/21,7.3,36,晴
2019/4/9,10.3,51,晴
2008/5/6,19.8,30,晴
2005/3/29,11.6,47,曇
2016/12/10,8.5,44,晴
2008/11/1,16.1,47,晴
2005/6/14,21.4,71,曇
2008/8/9,29.2,66,曇
2006/5/18,17.3,76,雨
2010/8/20,27.8,66,曇
2002/9/20,22,53,晴
2008/4/1,11.2,34,晴
2010/1/1,4.8,33,晴
2003/11/15,13.8,69,曇
2018/9/28,19.7,77,晴
2014/6/28,22.8,88,雨
2011/8/2,25.5,69,曇
2021/7/2,21.2,100,雨
2020/6/1,19.6,93,雨
2005/4/28,21.3,50,晴
2020/11/21,16.6,46,晴
2016/1/25,2.9,28,晴
2019/4/10,5.7,90,雨
2020/7/10,25.3,90,雨
2004/12/20,10.2,64,曇
2004/5/7,18.9,62,晴
2007/6/22,23.9,74,雨
2007/4/16,10.6,75,雨
2018/3/31,13.4,51,晴
2015/9/10,21.8,99,雨
2007/11/28,11.6,48,曇
2011/1/17,5,26,晴
2003/11/10,11.8,82,雨
2001/6/25,26.4,74,曇
2019/7/12,20.2,100,雨
2002/3/18,15.5,25,晴
2014/6/12,22,89,雨
2006/6/9,19.3,81,雨
2013/1/18,3.3,36,晴
2006/3/20,8.5,23,晴
2019/11/4,14.6,74,晴
2004/4/21,19.7,34,晴
2001/9/10,26.7,83,雨
2001/3/1,7.1,85,雨
2012/11/18,12.7,49,晴
2012/6/16,20.2,89,雨
2006/2/5,1.9,31,晴
2008/2/20,7.1,42,晴
2004/7/2,23,47,晴
2008/5/13,11.6,76,雨
2016/4/16,15.8,45,曇
2017/8/20,25.3,86,曇
2006/6/5,19,63,曇
2008/6/3,15.8,87,雨
2014/8/26,25.2,81,雨
2006/1/6,2.1,33,曇
2017/5/7,19.9,71,曇
2020/5/9,18.3,64,曇
2019/6/21,24.6,80,曇
2002/7/3,24.5,78,曇
2019/8/23,26.3,94,雨
2010/3/25,5.3,83,雨
2019/10/16,16.1,69,曇
2014/3/28,14.8,52,晴
2015/1/24,4.9,47,曇
2019/7/14,21.3,100,雨
2000/2/19,5.4,32,曇
2002/8/17,25.4,75,曇
2007/9/19,24.4,72,曇
2005/9/18,25.5,65,晴
2010/6/20,26.2,70,曇
2002/11/12,18,67,曇
2021/9/17,22.3,78,曇
2002/12/26,6.1,32,晴
2000/5/13,19.5,87,雨
2009/6/21,22.8,90,雨
2006/7/5,23.1,83,雨
2021/4/19,15.8,41,晴
2005/3/28,11,74,雨
2017/4/30,17.8,60,晴
2003/8/16,19.3,88,雨
2004/10/17,16.5,49,晴
2019/6/22,22.2,91,雨
2005/12/20,6.4,34,晴
2015/4/27,19.3,68,晴
2017/1/11,6.9,46,晴
2018/9/21,17.7,100,雨
2010/7/12,27.4,75,雨
2013/7/29,26.3,83,雨
2001/7/2,25.8,64,晴
2011/1/22,6,34,晴
2009/1/2,6.9,34,晴
2007/7/3,24.3,76,曇
2005/4/3,14.9,54,晴
2019/10/22,15.4,93,雨
2021/9/4,20.6,97,雨
2003/8/14,19.9,87,雨
2014/10/1,21.2,78,雨
2019/12/13,7.5,52,曇
2007/9/13,23.9,66,曇
2000/10/23,17,83,雨
2008/8/26,22.1,86,雨
2013/2/25,3,27,晴
2013/12/25,6.7,45,晴
2004/11/25,15.1,42,晴
2011/11/19,16.3,83,雨
2000/3/11,7.4,35,曇
2020/10/17,12.7,93,雨
2000/10/6,21.1,61,曇
2006/10/4,22.3,67,曇
2017/6/7,20.3,74,曇
2020/11/1,14.3,69,曇
2015/3/20,11.8,77,曇
2020/4/25,12.7,61,晴
2002/3/19,13.3,28,晴
2017/8/18,26.5,87,曇
2021/4/28,18.2,63,曇
2004/3/8,6.5,30,晴
2012/6/23,22.2,73,曇
2015/3/26,9.5,35,晴
2001/5/26,22.9,72,曇
2021/6/22,23.1,76,曇
2006/12/2,11.4,48,晴
2008/11/11,11.6,57,曇
2015/7/6,19.8,97,雨
2012/3/22,10.1,38,曇
2001/10/18,14.3,80,雨
2002/3/26,9.3,74,雨
2017/5/17,17.2,69,曇
2016/10/29,15.5,72,曇
2012/11/23,10.3,75,雨
2009/11/17,10.3,70,雨
2003/6/11,21.3,68,曇
2001/11/11,12.3,63,晴
2007/12/16,6.9,45,晴
2015/1/10,6.3,31,晴
2006/10/19,20.2,66,晴
2008/6/25,21.6,71,曇
2005/12/18,3.6,24,晴
2012/2/8,6.6,40,曇
2021/2/6,8.9,55,晴
2008/3/22,11.9,37,晴
2015/1/11,6.4,46,晴
2016/9/30,21.4,66,曇
2013/1/20,6.1,42,晴
2001/3/25,14.8,74,雨
2011/5/5,15.1,59,曇
2006/6/6,20.4,67,曇
2005/10/5,19.1,83,雨
2019/6/8,20.8,88,曇
2008/2/13,3.1,26,晴
2005/5/14,12.9,62,曇
2006/2/20,6.4,76,雨
2004/11/5,17.7,52,晴
2014/7/4,21.6,89,雨
2014/9/11,21.8,85,雨
2017/10/20,14.3,98,雨
2019/9/21,21.8,75,曇
2009/11/3,10.2,42,晴
2003/10/30,18.7,40,晴
2003/1/27,3.8,86,雨
2017/5/2,16.6,41,晴
2009/12/16,6.9,59,曇
2011/7/20,25.9,79,雨
2018/7/5,26.7,79,雨
2015/10/11,18.9,87,雨
2013/11/3,17.4,74,曇
2001/10/10,17,89,雨
2000/6/3,23,70,曇
2006/7/8,26,72,曇
2013/1/27,4.8,29,晴
2005/10/23,17.6,52,晴
2002/8/10,30.7,57,晴
2013/9/7,25.9,75,曇
2013/7/13,30.7,66,曇
2001/8/12,23.2,84,雨
2019/3/19,13.2,52,曇
2005/11/1,14.6,47,晴
2019/6/23,21.4,88,曇
2001/10/4,20.4,63,曇
2014/6/5,21.2,77,雨
2007/1/30,9,47,晴
2014/9/17,23.3,64,曇
2011/10/13,20.5,59,曇
2013/5/9,19.5,47,晴
2010/5/10,19.1,55,曇
2005/1/13,6.4,27,晴
2008/2/28,6.6,26,晴
2015/12/29,6.3,39,晴
2009/1/11,5.1,30,晴
2019/10/25,15.1,99,雨
2005/2/25,3.6,77,曇
2021/9/19,23.9,74,晴
2005/4/5,12.6,49,晴
2004/12/30,5.3,44,晴
2006/4/1,10.7,39,晴
2003/7/7,22.3,83,雨
2001/1/21,4.9,58,晴
2004/10/28,12.7,50,晴
2009/1/3,6.6,37,晴
2006/8/4,28.9,60,晴
2013/5/11,18.9,82,雨
2015/8/24,24.3,67,曇
2012/3/23,9.9,70,雨
2004/1/28,6.8,40,晴
2015/9/25,17.7,98,雨
2002/6/26,16.7,84,雨
2014/3/26,16.4,57,曇
2003/8/6,27.5,73,曇
2014/10/5,17.2,89,雨
2015/8/19,27.8,70,曇
2021/1/15,6.6,68,曇
2002/9/30,20.8,80,雨
2010/1/21,13,51,曇
2020/4/20,9.7,94,雨
2006/1/2,4,66,雨
2009/11/12,13.2,65,曇
2014/11/5,15.2,59,曇
2018/1/4,4.7,41,晴
2004/12/8,12.6,52,晴
2010/1/16,3.8,31,晴
2013/9/12,27.6,66,晴
2021/3/15,12.9,34,晴
2011/7/15,29.4,60,晴
2003/5/12,18.3,70,曇
2010/4/16,5.2,68,雨
2017/12/9,5.9,55,晴
2016/10/11,17.6,69,曇
2021/7/9,23.5,100,雨
2014/3/20,8.1,83,雨
2004/10/12,20.2,83,雨
2018/3/7,5.2,56,曇
2020/6/14,21.7,99,雨
2015/4/14,12.1,96,雨
2001/10/1,18.2,89,雨
2003/4/23,15.5,69,雨
2000/4/18,14.6,46,晴
2015/2/15,5.5,41,晴
2006/11/26,10,60,曇
2002/3/3,6.3,40,曇
2005/5/30,17,84,雨
2011/5/11,15.2,80,雨
2016/5/2,17.4,73,曇
2005/7/30,28.8,70,曇
2016/4/15,16.3,31,晴
2003/8/9,27.2,78,雨
2006/1/16,9,65,曇
2004/9/20,26.6,69,曇
2012/3/2,7.3,85,雨
2004/3/12,9.8,57,曇
2001/1/30,5.3,44,晴
2002/1/4,6.5,47,晴
2017/10/2,22.3,76,曇
2000/5/5,16.8,55,晴
2005/4/12,7.8,77,雨
2002/3/9,10.5,42,晴
2007/6/18,23.8,62,曇
2006/12/26,8.1,82,雨
2019/10/24,18.1,81,曇
2019/12/8,7.4,59,晴
2020/5/2,20.6,73,晴
2020/7/6,24.8,92,雨
2018/10/13,17.4,65,曇
2005/12/16,6.2,40,晴
2019/10/14,17,88,雨
2001/8/4,29.5,66,曇
2015/3/25,8.1,35,晴
2011/3/15,10.9,58,曇
2013/4/10,13.6,54,曇
2019/12/10,10.2,87,曇
2008/1/6,7.5,59,晴
2016/1/19,5.1,43,晴
2005/4/2,11.2,52,曇
2014/3/17,12.1,50,晴
2017/7/4,26.8,83,曇
2020/3/6,9.4,33,晴
2020/2/1,7.9,40,晴
2005/4/11,13.3,78,雨
2001/4/30,14.9,84,雨
2004/6/14,22.5,51,晴
2016/10/20,21.9,62,晴
2009/2/9,6.1,34,曇
2009/5/6,16.4,82,雨
2000/4/21,14,90,雨
2004/10/10,18.6,78,曇
2004/1/21,7.9,55,曇
2021/8/15,19.3,100,雨
2003/7/15,21.5,68,曇
2010/2/27,10.9,80,雨
2003/4/5,6.9,85,雨
2012/4/13,17.2,61,曇
2014/5/31,25.6,59,晴
2019/1/29,6,39,晴
2017/8/4,25.6,86,曇
2014/7/18,24.9,81,曇
2011/2/16,6.8,49,晴
2006/10/16,20.2,48,晴
2000/2/1,5.7,26,晴
2006/8/27,25.4,64,曇
2010/12/18,8.2,45,晴
2021/2/20,10.2,47,晴
2003/12/1,13,85,雨
2014/9/4,25.2,72,曇
2010/4/5,9.4,83,雨
2010/6/2,19.1,53,晴
2019/9/29,24.7,83,曇
2014/9/1,21.8,89,雨
2011/1/8,5.9,33,晴
2020/1/23,6.1,84,雨
2011/6/17,19.2,85,雨
2002/1/9,7.5,37,晴
2012/10/3,20.7,83,雨
2011/12/15,10.4,61,晴
2002/5/9,14.8,73,曇
2001/8/21,24.8,82,雨
2008/12/30,9,54,晴
2008/5/10,13.5,72,雨
2002/11/10,10.9,43,晴
2000/1/4,9.8,36,晴
2010/1/24,7,42,晴
2004/7/4,25.2,57,晴
2009/10/26,14.4,85,雨
2020/7/16,20.7,86,曇
2019/7/7,19.2,99,雨
2003/11/27,9.5,61,曇
2014/12/19,5.4,45,晴
2007/11/22,8.2,37,晴
2019/11/10,13.9,64,晴
2012/2/26,6,49,曇
2003/8/15,19.5,89,雨
2015/4/21,17.5,76,曇
2018/11/13,14.9,83,曇
2009/9/4,23.2,66,曇
2003/11/11,11.4,85,雨
2006/3/1,5.7,86,雨
2000/1/28,4.6,37,晴
2014/4/28,18.6,52,曇
2002/1/10,8.2,51,晴
2019/6/15,17.3,99,雨
2004/6/10,22.6,77,曇
2020/11/5,13.4,56,晴
2001/11/23,13.6,55,晴
2020/10/8,14.7,99,雨
2004/9/29,21.5,83,雨
2003/5/11,18.4,55,曇
2008/6/17,22.1,68,曇
2019/1/2,6.2,47,晴
2014/3/24,13.6,37,晴
2015/4/13,9.7,89,雨
2013/10/6,21.4,89,曇
2016/5/10,18.4,91,曇
2014/1/13,5.1,35,晴
2006/7/17,24,83,雨
2008/2/2,4.8,35,曇
2002/7/5,25.7,78,曇
2010/3/6,11.4,80,雨
2013/11/16,12.9,62,晴
2014/3/30,16.5,79,雨
2003/9/26,21.8,77,曇
2005/7/4,20.9,88,雨
2013/11/24,12.6,51,晴
2011/2/20,7,56,曇
2003/7/10,23,86,雨
2015/11/10,16.5,94,雨
2005/12/28,4.7,28,晴
2006/11/23,12,50,曇
2017/1/4,8.5,48,晴
2011/1/13,4.4,28,晴
2014/10/13,18.1,79,雨
2021/4/2,16,63,曇
2000/8/13,25,83,雨
2000/6/24,20.1,91,雨
2004/12/15,10.3,54,曇
2007/7/17,19.8,82,雨
2020/6/13,21.3,99,雨
2008/1/14,4,35,曇
2000/2/29,4.2,22,晴
2009/4/30,17.8,43,晴
2010/6/3,20.9,56,晴
2016/3/9,8.7,84,雨
2019/5/21,19.4,99,雨
2016/5/25,22.2,70,曇
2006/3/8,12.3,50,晴
2015/12/14,11.6,76,曇
2003/9/21,16.2,88,雨
2012/7/5,26.7,74,曇
2005/6/28,30.8,55,曇
2006/10/6,17,87,雨
2015/3/2,9.3,37,晴
2013/2/24,3.6,35,晴
2019/5/14,17.9,81,雨
2001/10/23,20.5,58,晴
2009/4/24,13.3,56,曇
2019/2/5,6.7,55,曇
2001/6/12,20.4,63,曇
2018/8/29,26.1,86,曇
2019/4/4,10.6,45,晴
2016/3/11,4.6,72,雨
2015/10/8,19.4,37,晴
2003/12/3,11.8,51,曇
2007/5/4,21.5,48,晴
2006/3/5,8.3,48,晴
2019/7/1,22.7,100,雨
2003/6/8,22.1,66,晴
2014/2/25,8.2,48,晴
2007/1/6,6.1,77,雨
2009/2/21,6.4,30,晴
2020/3/25,10,45,晴
2014/6/8,20.5,90,雨
2012/3/17,6.8,84,雨
2005/7/26,25.4,86,雨
2017/8/22,27.8,84,曇
2015/8/29,20,98,雨
2017/12/30,6.2,44,晴
2006/4/26,14,46,曇
2005/9/24,22.5,83,雨
2013/6/20,22.3,88,雨
2014/1/10,3.6,30,晴
2016/1/10,7.9,50,晴
2001/2/24,6.5,81,雨
2002/3/5,9.1,52,曇
2006/1/11,6.1,40,晴
2002/3/29,12.1,75,雨
2004/5/4,21.2,71,曇
2009/5/14,18.4,30,晴
2001/6/19,26,72,曇
2005/12/9,9.2,49,晴
2019/7/18,25.6,89,曇
2002/3/2,12.3,49,曇
2010/3/2,5.3,72,曇
2002/2/3,6,71,雨
2003/6/5,22.8,54,晴
2009/3/14,11.6,63,雨
2005/3/23,10.8,80,雨
2019/5/8,16.5,42,晴
2019/10/12,23.3,98,雨
2003/7/17,22.7,67,曇
2007/7/8,22.9,68,曇
2011/10/27,15.2,45,晴
2008/10/7,21.6,74,曇
2016/9/12,24.7,81,曇
2005/10/3,23.7,55,曇
2009/4/7,16,51,晴
2018/11/9,15.6,100,雨
2001/2/4,5.4,33,曇
2010/6/22,26.1,72,曇
2000/12/24,9.8,44,晴
2017/10/19,11,98,雨
2018/5/22,21,55,晴
2013/11/9,13.3,66,曇
2003/9/30,20.4,36,晴
2011/6/5,22.2,70,曇
2017/6/13,16.9,92,雨
2011/7/19,27.9,78,雨
2018/10/5,18.7,95,雨
2004/5/6,13.9,65,曇
2008/12/17,8.8,75,雨
2009/4/9,18.3,40,晴
2000/1/21,3.9,26,晴
2007/2/11,8.8,39,晴
2014/1/31,9.9,44,晴
2009/7/5,23.8,74,曇
2017/7/2,25.7,84,曇
2005/10/18,17.1,83,雨
2011/12/29,6,46,晴
2009/3/21,11.8,37,晴
2010/8/13,28.3,70,曇
2012/4/14,9.9,87,雨
2002/3/27,10.8,76,雨
2019/1/7,5.4,42,晴
2004/8/27,24.3,72,曇
2014/6/7,18.4,93,雨
2013/5/28,22.2,65,曇
2019/12/28,6.8,44,晴
2019/11/5,13.7,58,晴
2016/12/17,6.7,49,晴
2009/5/7,17,80,雨
2021/9/20,22.4,69,晴
2017/9/17,19,100,雨
2021/4/20,17.2,52,晴
2020/3/10,14.7,97,雨
2005/5/16,16.2,36,晴
2012/2/6,4.9,67,雨
2001/2/22,13.9,41,晴
2005/6/15,19.5,83,雨
2008/9/29,16.6,78,雨
2019/11/29,5.2,56,晴
2017/12/14,5.7,41,晴
2021/3/18,12.3,49,晴
2017/10/21,16.4,100,雨
2019/7/9,19.7,79,曇
2006/10/8,21.3,38,晴
2002/8/24,24.4,77,曇
2017/3/26,5.9,91,雨
2013/12/14,7.6,42,晴
2016/9/26,25.4,87,曇
2011/7/10,29.3,64,晴
2004/7/31,28.1,70,曇
2019/6/24,19.1,98,雨
2004/1/15,5.1,25,晴
2012/2/18,2.5,41,晴
2016/9/19,21.3,96,雨
2003/3/21,7.5,37,晴
2009/8/31,19.1,88,雨
2013/10/23,17.5,71,曇
2013/5/24,22.2,47,晴
2004/5/12,21,46,曇
2005/2/3,5.2,31,晴
2011/2/4,8.8,40,晴
2008/3/14,13.3,76,雨
2019/9/18,21.2,90,雨
2015/6/19,19.1,92,雨
2001/1/12,6.6,37,晴
2006/5/27,17.8,78,雨
2001/2/1,5.2,67,雨
2001/12/16,7.4,38,晴
2003/5/1,15.4,29,晴
2001/2/27,8,45,晴
2018/3/13,11.6,61,晴
2017/6/30,23.8,89,雨
2021/3/21,16.7,95,雨
2009/8/8,27.6,77,曇
2012/9/27,21.2,61,曇
2016/5/30,17.4,92,雨
2001/11/16,13.2,48,晴
2020/5/31,21.3,73,曇
2005/1/5,5.3,33,晴
2006/11/19,10,72,雨
2016/7/25,24.7,77,曇
2020/6/27,25.5,83,曇
2001/10/30,15,52,曇
2003/4/6,11.1,43,晴
2014/1/2,7.3,46,晴
2013/5/5,18.1,48,晴
2003/7/9,21.3,74,曇
2004/9/16,22.7,53,晴
2001/8/8,24.8,66,曇
2017/10/22,17.4,100,雨
2001/9/23,17.3,53,晴
2001/1/17,3.3,33,晴
2004/12/3,10.7,45,晴
2020/10/2,21,72,晴
2009/5/2,19.8,52,晴
2013/7/26,28.4,76,曇
2017/12/19,6.5,52,晴
2003/4/24,18.7,73,曇
2007/3/23,12.4,39,晴
2020/6/19,18.7,99,雨
2014/1/15,3,44,曇
2021/1/10,2.6,44,晴
2000/3/18,10.2,38,晴
2010/8/14,29.4,70,曇
2007/1/25,7.9,33,晴
2008/2/12,6.1,64,雨
2013/4/8,14.7,27,晴
2019/6/10,16.2,100,雨
2019/5/24,23.1,49,晴
2016/3/15,8.1,50,晴
2014/9/29,23.5,54,晴
2004/4/27,19,73,雨
2008/10/25,20.6,70,曇
2018/9/27,15.9,99,雨
2007/2/20,7,61,雨
2011/2/7,8.2,42,晴
2010/3/1,9,75,曇
2011/1/31,2.9,28,晴
2017/11/9,14.4,53,晴
2000/5/9,20.6,57,晴
2010/12/9,9.1,45,晴
2002/2/20,9,37,晴
2015/8/30,21.2,96,雨
2012/11/27,11,40,晴
2001/10/17,18.2,82,雨
2019/12/4,10.2,51,晴
2020/1/17,7.3,59,曇
2007/12/25,8,45,曇
2014/6/26,23.6,74,曇
2005/10/30,17.5,54,曇
2010/12/27,7.2,30,晴
2006/7/21,21.4,83,雨
